Year,Compant,Job Title,Annual Salary,Location,Years of Experience,Gender,Masters Degree,Bachelors Degree,Doctorate Degree,Highschool,Some College,Education
2021,Dream11,Data Scientist,170000,"Mumbai, MH, India",8,Male,0,1,0,0,0,Bachelor's Degree
2021,Dream11,Data Scientist,42000,"Mumbai, MH, India",0,Male,0,1,0,0,0,Bachelor's Degree
2021,Nielsen,Data Scientist,87000,"Columbia, MD",3,Male,1,0,0,0,0,Master's Degree
2021,Google,Data Scientist,197000,"San Francisco, CA",3,Male,0,1,0,0,0,Bachelor's Degree
2021,Nielsen,Data Scientist,86000,"Toronto, ON, Canada",7,Male,1,0,0,0,0,Master's Degree
2021,McAfee,Data Scientist,241000,"San Jose, CA",10,Male,0,1,0,0,0,Bachelor's Degree
2021,T-Mobile,Business Analyst,190000,"Bellevue, WA",2,Male,1,0,0,0,0,Master's Degree
2021,Apple,Data Scientist,228000,"Austin, TX",8,Female,1,0,0,0,0,Master's Degree
2021,Shopee,Data Scientist,94000,"Singapore, SG, Singapore",1,Female,1,0,0,0,0,Master's Degree
2020,Capital One,Data Scientist,194000,"New York, NY",3,Female,0,0,0,0,0,NA
2020,Chase,Business Analyst,170000,"Redwood City, CA",6,Male,1,0,0,0,0,Master's Degree
2021,Adobe,Data Scientist,199000,"San Jose, CA",2,Male,1,0,0,0,0,Master's Degree
2021,Amazon,Business Analyst,147000,"Seattle, WA",4,Male,0,1,0,0,0,Bachelor's Degree
2021,C3.ai,Data Scientist,186000,"Redwood City, CA",0,Male,1,0,0,0,0,Master's Degree
2021,Instacart,Data Scientist,488000,"San Francisco, CA",15,Male,1,0,0,0,0,Master's Degree
2021,Ellie Mae,Data Scientist,139000,"Pleasanton, CA",2,Male,1,0,0,0,0,Master's Degree
2020,MITRE,Data Scientist,109000,"Washington, DC",2,Female,0,0,0,0,0,NA
2020,Wish,Data Scientist,165000,"San Francisco, CA",3,Male,0,0,0,0,0,NA
2020,Google,Data Scientist,246000,"Sunnyvale, CA",10,Female,0,0,1,0,0,PhD
2021,Amazon,Business Analyst,125000,"Washington, DC",5,Male,0,1,0,0,0,Bachelor's Degree
2021,PwC,Data Scientist,50000,"Warsaw, MZ, Poland",3,Male,0,1,0,0,0,Bachelor's Degree
2021,Fidelity Investments,Data Scientist,176000,"Boston, MA",2,Female,0,0,1,0,0,PhD
2021,Yahoo,Data Scientist,254000,"Sunnyvale, CA",3,Male,0,0,1,0,0,PhD
2021,Deloitte,Business Analyst,100000,"Princeton, NJ",4,Male,0,0,0,0,0,NA
2021,Fannie Mae,Data Scientist,120000,"Washington, DC",5,Male,0,1,0,0,0,Bachelor's Degree
2021,Astrazeneca,Business Analyst,170000,"Gaithersburg, MD",10,Male,1,0,0,0,0,Master's Degree
2021,Walmart Labs,Data Scientist,332000,"Sunnyvale, CA",4,Male,1,0,0,0,0,Master's Degree
2021,Sberbank,Data Scientist,14000,"Moscow, MC, Russia",2,Male,0,1,0,0,0,Bachelor's Degree
2020,Dream11,Data Scientist,107000,"Mumbai, MH, India",7,Male,0,0,0,0,0,NA
2020,Apple,Data Scientist,220000,"Cupertino, CA",1,Male,1,0,0,0,0,Master's Degree
2021,Liberty Mutual,Data Scientist,118000,"Boston, MA",5,Female,0,0,0,0,0,NA
2021,TransUnion,Data Scientist,120000,"Boca Raton, FL",2,Male,0,0,0,0,0,NA
2020,Goldman sachs,Data Scientist,110000,"New York, NY",5,Male,1,0,0,0,0,Master's Degree
2020,Uber,Data Scientist,256000,"San Francisco, CA",5,Male,0,0,0,0,0,NA
2021,Capital One,Business Analyst,85000,"Toronto, ON, Canada",2,Male,0,1,0,0,0,Bachelor's Degree
2021,Facebook,Data Scientist,270000,"Menlo Park, CA",1,Male,0,0,1,0,0,PhD
2021,Facebook,Business Analyst,160000,"Menlo Park, CA",6,Female,0,1,0,0,0,Bachelor's Degree
2021,Rappi,Business Analyst,22000,"Lima, LI, Peru",2,Male,0,1,0,0,0,Bachelor's Degree
2021,State Farm,Data Scientist,95000,"Bloomington, IL",2,Female,0,1,0,0,0,Bachelor's Degree
2021,General Motors,Data Scientist,184000,"Detroit, MI",3,Male,0,0,1,0,0,PhD
2021,AT&T,Data Scientist,114000,"Dallas, TX",3,Male,0,1,0,0,0,Bachelor's Degree
2021,Microsoft,Data Scientist,160000,"Atlanta, GA",15,Male,0,1,0,0,0,Bachelor's Degree
2021,Amazon,Data Scientist,360000,"Seattle, WA",10,Male,0,0,1,0,0,PhD
2021,ING,Data Scientist,71000,"Amsterdam, NH, Netherlands",0,Male,0,0,1,0,0,PhD
2020,Twitter,Data Scientist,225000,"London, EN, United Kingdom",7,Male,0,0,1,0,0,PhD
